ds,y
2015-01-01,28828.254
2015-02-01,12588.484
2015-03-01,54027.691999999995
2015-04-01,24710.016
2015-05-01,29520.49
2015-06-01,29181.3346
2015-07-01,35194.558
2015-08-01,37349.2655
2015-09-01,65956.3998
2015-10-01,34561.947
2015-11-01,64369.4565
2015-12-01,63568.3107
2016-01-01,29347.3864
2016-02-01,20728.352
2016-03-01,34489.6776
2016-04-01,38056.9685
2016-05-01,30761.5585
2016-06-01,28515.908199999998
2016-07-01,28573.31
2016-08-01,49076.93
2016-09-01,65352.997
2016-10-01,31631.889
2016-11-01,50009.145
2016-12-01,52891.8832
2017-01-01,38048.184
2017-02-01,48907.590000000004
2017-03-01,48990.141
2017-04-01,42368.048
2017-05-01,64836.2518
2017-06-01,37424.681
2017-07-01,41761.943
2017-08-01,45766.8144
2017-09-01,40692.3063
2017-10-01,52156.958
2017-11-01,66392.547
2017-12-01,72847.0855
2018-01-01,59767.091
2018-02-01,48928.833399999996
2018-03-01,74748.6238
2018-04-01,37849.215599999996
2018-05-01,40882.4464
2018-06-01,46912.8475
2018-07-01,53942.775499999996
2018-08-01,75408.784
2018-09-01,73153.364
2018-10-01,65501.1622
2018-11-01,87997.64
2018-12-01,56959.2358
