ds,y
2015-01-04,2791.939
2015-01-11,11129.833999999999
2015-01-18,9754.923
2015-01-25,3092.5440000000003
2015-02-01,2059.014
2015-02-08,3928.522
2015-02-15,8348.558
2015-02-22,224.912
2015-03-01,102.94
2015-03-08,2524.79
2015-03-15,6654.138
2015-03-22,37703.665
2015-03-29,3998.777
2015-04-05,4586.046
2015-04-12,10999.31
2015-04-19,2198.37
2015-04-26,5660.104
2015-05-03,5121.158
2015-05-10,9781.747000000001
2015-05-17,6248.428
2015-05-24,6241.984
2015-05-31,6523.233
2015-06-07,9055.231
2015-06-14,3056.3979999999997
2015-06-21,11139.4446
2015-06-28,5143.956999999999
2015-07-05,4727.364
2015-07-12,6134.68
2015-07-19,1387.686
2015-07-26,21590.079999999998
2015-08-02,2155.612
2015-08-09,25207.115
2015-08-16,2766.6800000000003
2015-08-23,4366.4980000000005
2015-08-30,4901.8925
2015-09-06,5990.552
2015-09-13,12536.307999999999
2015-09-20,20685.832000000002
2015-09-27,17249.3338
2015-10-04,10383.68
2015-10-11,8742.519
2015-10-18,10983.032
2015-10-25,3882.9900000000002
2015-11-01,10166.56
2015-11-08,8993.732
2015-11-15,12161.644
2015-11-22,26793.6235
2015-11-29,16191.363
2015-12-06,2956.011
2015-12-13,14602.1377
2015-12-20,23416.453
2015-12-27,10632.52
2016-01-03,13822.5174
2016-01-10,5822.812
2016-01-17,11209.362000000001
2016-01-24,358.522
2016-01-31,10314.516
2016-02-07,4930.02
2016-02-14,9168.257
2016-02-21,4776.534
2016-02-28,1853.5410000000002
2016-03-06,4459.8176
2016-03-13,9132.445
2016-03-20,13310.136
2016-03-27,5012.915
2016-04-03,2838.824
2016-04-10,6513.4220000000005
2016-04-17,15320.778
2016-04-24,4603.642
2016-05-01,11649.9385
2016-05-08,6670.819
2016-05-15,6966.8825
2016-05-22,4418.17
2016-05-29,6551.177
2016-06-05,10018.568
2016-06-12,8867.3382
2016-06-19,7687.451000000001
2016-06-26,6242.707
2016-07-03,2690.732
2016-07-10,5163.699
2016-07-17,10783.011
2016-07-24,3955.135
2016-07-31,7539.815
2016-08-07,6840.9800000000005
2016-08-14,16528.493000000002
2016-08-21,7085.682
2016-08-28,15773.478
2016-09-04,5233.919
2016-09-11,14065.259
2016-09-18,23422.156
2016-09-25,18316.364999999998
2016-10-02,8258.939
2016-10-09,2725.402
2016-10-16,12888.476
2016-10-23,5588.974
2016-10-30,6122.684
2016-11-06,8104.887000000001
2016-11-13,10113.0747
2016-11-20,15075.134
2016-11-27,13504.0113
2016-12-04,7221.559
2016-12-11,7513.967
2016-12-18,11314.539999999999
2016-12-25,22843.047
2017-01-01,10421.8172
2017-01-08,11976.146
2017-01-15,15473.662
2017-01-22,3227.454
2017-01-29,2662.052
2017-02-05,16333.79
2017-02-12,31342.995
2017-02-19,2920.111
2017-02-26,2628.088
2017-03-05,12158.339
2017-03-12,14215.423999999999
2017-03-19,14902.938
2017-03-26,4575.475
2017-04-02,4796.5289999999995
2017-04-09,7459.19
2017-04-16,23755.52
2017-04-23,7107.204
2017-04-30,2779.046
2017-05-07,7820.158
2017-05-14,15285.1608
2017-05-21,8770.649
2017-05-28,23367.662
2017-06-04,11830.899
2017-06-11,8951.892
2017-06-18,10611.132
2017-06-25,10503.088
2017-07-02,5966.01
2017-07-09,10871.113
2017-07-16,8224.506
2017-07-23,9716.872
2017-07-30,9929.576000000001
2017-08-06,11840.25
2017-08-13,15221.7546
2017-08-20,3783.892
2017-08-27,14460.025
2017-09-03,4135.5268
2017-09-10,5953.733
2017-09-17,10417.715
2017-09-24,13848.655
2017-10-01,9146.4773
2017-10-08,11901.639000000001
2017-10-15,17130.049
2017-10-22,12415.173999999999
2017-10-29,6625.845
2017-11-05,5030.877
2017-11-12,19256.864
2017-11-19,12641.716
2017-11-26,27367.716
2017-12-03,9065.557
2017-12-10,11515.4835
2017-12-17,24262.487999999998
2017-12-24,17948.247
2017-12-31,16060.185
2018-01-07,12789.058
2018-01-14,19895.202
2018-01-21,13698.768
2018-01-28,9476.086
2018-02-04,9173.981
2018-02-11,21068.75
2018-02-18,15599.1974
2018-02-25,4509.7519999999995
2018-03-04,7510.361
2018-03-11,20453.88
2018-03-18,9829.693000000001
2018-03-25,26029.904
2018-04-01,13409.9158
2018-04-08,2515.691
2018-04-15,21019.007999999998
2018-04-22,7631.758
2018-04-29,5292.6326
2018-05-06,5569.393
2018-05-13,14866.268
2018-05-20,14571.618
2018-05-27,4357.192
2018-06-03,4624.4314
2018-06-10,6122.3958
2018-06-17,16133.824
2018-06-24,6318.9355
2018-07-01,20016.9522
2018-07-08,9787.2225
2018-07-15,18163.372
2018-07-22,10896.305
2018-07-29,9618.882
2018-08-05,13877.968
2018-08-12,15027.126
2018-08-19,22222.554
2018-08-26,15330.072
2018-09-02,12080.723
2018-09-09,10382.144
2018-09-16,23322.47
2018-09-23,26104.433
2018-09-30,12296.062
2018-10-07,5108.141
2018-10-14,20990.315000000002
2018-10-21,13270.8182
2018-10-28,21535.27
2018-11-04,8131.648
2018-11-11,11847.205
2018-11-18,29686.096
2018-11-25,22212.769
2018-12-02,21565.06
2018-12-09,7261.742
2018-12-16,14181.02
2018-12-23,19457.068
2018-12-30,15210.8858
